Observer point at r[0]=1.262205e-01 AU
   time           vr          rho         temp           Bp          prs
7.527133e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.622773e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.718393e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.814000e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.909599e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.005195e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.100772e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.196322e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.291851e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.387362e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.482862e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.578356e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.673849e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.769314e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.864755e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
8.960175e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.055581e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.150978e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.246372e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.341756e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.437112e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.532446e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.627762e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.723068e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.818367e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
9.913665e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.000894e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.010419e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.019942e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.029464e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.038985e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.048506e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.058025e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.067542e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.077057e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.086571e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.096083e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.105595e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.115106e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.124616e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.134123e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.143628e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.153132e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.162635e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.172138e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.181640e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.191139e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.200637e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.210133e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.219628e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.229123e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.238617e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.248109e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.257599e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.267087e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.276575e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.286062e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.295549e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.305033e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.314516e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.323997e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.333476e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.342956e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.352435e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.361912e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.371388e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.380861e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.390334e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.399806e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.409277e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.418748e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.428216e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.437683e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.447148e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.456613e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.466077e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.475541e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.485003e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.494462e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.503921e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.513379e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.522836e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.532293e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.541748e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.551201e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.560653e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.570104e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.579555e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.589005e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.598454e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.607900e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.617345e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.626790e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.636234e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.645678e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.655120e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.664560e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.673999e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.683437e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.692875e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.702313e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.711749e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.721183e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.730615e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.740047e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.749479e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.758911e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.768341e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.777768e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.787195e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.796621e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.806047e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.815473e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
1.824896e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
