Observer point at r[822]=1.000358e+00 AU
   time           vr          rho         temp           Bp          prs
8.309847e-05 2.997749e+02 4.753934e+02 1.218854e+06 9.750779e+02 8.029494e+06
8.401635e-05 2.997718e+02 4.751251e+02 1.218510e+06 9.748026e+02 8.022698e+06
8.493384e-05 2.997686e+02 4.748570e+02 1.218166e+06 9.745274e+02 8.015908e+06
8.585102e-05 2.997654e+02 4.745891e+02 1.217822e+06 9.742523e+02 8.009125e+06
8.676796e-05 2.997622e+02 4.743213e+02 1.217479e+06 9.739772e+02 8.002347e+06
8.768472e-05 2.997590e+02 4.740536e+02 1.217135e+06 9.737023e+02 7.995574e+06
8.860134e-05 2.997558e+02 4.737861e+02 1.216791e+06 9.734273e+02 7.988807e+06
8.951791e-05 2.997525e+02 4.735186e+02 1.216448e+06 9.731524e+02 7.982043e+06
9.043436e-05 2.997493e+02 4.732513e+02 1.216105e+06 9.728775e+02 7.975285e+06
9.135039e-05 2.997460e+02 4.729842e+02 1.215761e+06 9.726027e+02 7.968533e+06
9.226609e-05 2.997427e+02 4.727172e+02 1.215418e+06 9.723281e+02 7.961787e+06
9.318152e-05 2.997394e+02 4.724504e+02 1.215075e+06 9.720535e+02 7.955047e+06
9.409674e-05 2.997361e+02 4.721837e+02 1.214732e+06 9.717789e+02 7.948313e+06
9.501181e-05 2.997328e+02 4.719171e+02 1.214389e+06 9.715044e+02 7.941584e+06
9.592680e-05 2.997295e+02 4.716507e+02 1.214046e+06 9.712300e+02 7.934859e+06
9.684176e-05 2.997261e+02 4.713843e+02 1.213703e+06 9.709555e+02 7.928138e+06
9.775640e-05 2.997228e+02 4.711181e+02 1.213361e+06 9.706812e+02 7.921423e+06
9.867067e-05 2.997194e+02 4.708521e+02 1.213018e+06 9.704069e+02 7.914715e+06
9.958466e-05 2.997160e+02 4.705863e+02 1.212676e+06 9.701327e+02 7.908012e+06
1.004984e-04 2.997126e+02 4.703205e+02 1.212333e+06 9.698586e+02 7.901315e+06
1.014120e-04 2.997091e+02 4.700549e+02 1.211991e+06 9.695846e+02 7.894623e+06
1.023255e-04 2.997057e+02 4.697895e+02 1.211648e+06 9.693106e+02 7.887936e+06
1.032389e-04 2.997023e+02 4.695241e+02 1.211306e+06 9.690366e+02 7.881253e+06
1.041522e-04 2.996988e+02 4.692588e+02 1.210964e+06 9.687626e+02 7.874575e+06
1.050651e-04 2.996953e+02 4.689937e+02 1.210622e+06 9.684888e+02 7.867903e+06
1.059777e-04 2.996918e+02 4.687288e+02 1.210280e+06 9.682150e+02 7.861238e+06
1.068900e-04 2.996883e+02 4.684640e+02 1.209938e+06 9.679413e+02 7.854578e+06
1.078022e-04 2.996848e+02 4.681994e+02 1.209596e+06 9.676677e+02 7.847923e+06
1.087143e-04 2.996812e+02 4.679348e+02 1.209254e+06 9.673941e+02 7.841272e+06
1.096263e-04 2.996777e+02 4.676704e+02 1.208913e+06 9.671205e+02 7.834626e+06
1.105382e-04 2.996741e+02 4.674060e+02 1.208571e+06 9.668469e+02 7.827984e+06
1.114498e-04 2.996705e+02 4.671419e+02 1.208229e+06 9.665735e+02 7.821349e+06
1.123610e-04 2.996670e+02 4.668779e+02 1.207888e+06 9.663001e+02 7.814720e+06
1.132720e-04 2.996633e+02 4.666140e+02 1.207547e+06 9.660268e+02 7.808096e+06
1.141828e-04 2.996597e+02 4.663503e+02 1.207205e+06 9.657536e+02 7.801477e+06
1.150935e-04 2.996561e+02 4.660867e+02 1.206864e+06 9.654804e+02 7.794863e+06
1.160041e-04 2.996524e+02 4.658232e+02 1.206523e+06 9.652072e+02 7.788254e+06
1.169148e-04 2.996488e+02 4.655597e+02 1.206182e+06 9.649340e+02 7.781648e+06
1.178250e-04 2.996451e+02 4.652965e+02 1.205841e+06 9.646609e+02 7.775048e+06
1.187349e-04 2.996414e+02 4.650334e+02 1.205500e+06 9.643879e+02 7.768455e+06
1.196446e-04 2.996377e+02 4.647704e+02 1.205159e+06 9.641150e+02 7.761867e+06
1.205541e-04 2.996340e+02 4.645076e+02 1.204818e+06 9.638422e+02 7.755284e+06
1.214635e-04 2.996302e+02 4.642449e+02 1.204477e+06 9.635694e+02 7.748706e+06
1.223728e-04 2.996265e+02 4.639823e+02 1.204136e+06 9.632965e+02 7.742132e+06
1.232822e-04 2.996227e+02 4.637197e+02 1.203796e+06 9.630237e+02 7.735561e+06
1.241911e-04 2.996189e+02 4.634574e+02 1.203455e+06 9.627510e+02 7.728997e+06
1.250998e-04 2.996151e+02 4.631952e+02 1.203115e+06 9.624784e+02 7.722439e+06
1.260082e-04 2.996113e+02 4.629331e+02 1.202774e+06 9.622059e+02 7.715887e+06
1.269165e-04 2.996075e+02 4.626712e+02 1.202434e+06 9.619334e+02 7.709339e+06
1.278246e-04 2.996037e+02 4.624094e+02 1.202094e+06 9.616609e+02 7.702796e+06
1.287327e-04 2.995998e+02 4.621476e+02 1.201753e+06 9.613885e+02 7.696257e+06
1.296407e-04 2.995960e+02 4.618860e+02 1.201413e+06 9.611161e+02 7.689722e+06
1.305485e-04 2.995921e+02 4.616245e+02 1.201073e+06 9.608437e+02 7.683193e+06
1.314559e-04 2.995882e+02 4.613632e+02 1.200733e+06 9.605715e+02 7.676670e+06
1.323631e-04 2.995843e+02 4.611020e+02 1.200393e+06 9.602993e+02 7.670153e+06
1.332701e-04 2.995804e+02 4.608410e+02 1.200053e+06 9.600272e+02 7.663640e+06
1.341770e-04 2.995764e+02 4.605800e+02 1.199714e+06 9.597551e+02 7.657132e+06
1.350839e-04 2.995725e+02 4.603192e+02 1.199374e+06 9.594830e+02 7.650627e+06
1.359908e-04 2.995685e+02 4.600584e+02 1.199034e+06 9.592109e+02 7.644127e+06
1.368973e-04 2.995645e+02 4.597978e+02 1.198694e+06 9.589389e+02 7.637633e+06
1.378035e-04 2.995606e+02 4.595373e+02 1.198355e+06 9.586670e+02 7.631144e+06
1.387095e-04 2.995565e+02 4.592770e+02 1.198015e+06 9.583951e+02 7.624661e+06
1.396154e-04 2.995525e+02 4.590168e+02 1.197676e+06 9.581233e+02 7.618183e+06
1.405211e-04 2.995485e+02 4.587567e+02 1.197337e+06 9.578516e+02 7.611709e+06
1.414269e-04 2.995444e+02 4.584967e+02 1.196997e+06 9.575798e+02 7.605238e+06
1.423325e-04 2.995404e+02 4.582368e+02 1.196658e+06 9.573081e+02 7.598772e+06
1.432378e-04 2.995363e+02 4.579771e+02 1.196319e+06 9.570364e+02 7.592313e+06
1.441429e-04 2.995322e+02 4.577175e+02 1.195980e+06 9.567649e+02 7.585858e+06
1.450478e-04 2.995281e+02 4.574580e+02 1.195641e+06 9.564934e+02 7.579409e+06
1.459525e-04 2.995240e+02 4.571987e+02 1.195302e+06 9.562219e+02 7.572964e+06
1.468571e-04 2.995198e+02 4.569394e+02 1.194963e+06 9.559504e+02 7.566524e+06
1.477618e-04 2.995157e+02 4.566803e+02 1.194624e+06 9.556790e+02 7.560087e+06
1.486663e-04 2.995115e+02 4.564212e+02 1.194285e+06 9.554076e+02 7.553656e+06
1.495705e-04 2.995074e+02 4.561623e+02 1.193946e+06 9.551363e+02 7.547230e+06
1.504744e-04 2.995032e+02 4.559036e+02 1.193607e+06 9.548650e+02 7.540809e+06
1.513782e-04 2.994990e+02 4.556449e+02 1.193269e+06 9.545938e+02 7.534393e+06
1.522818e-04 2.994947e+02 4.553864e+02 1.192930e+06 9.543227e+02 7.527982e+06
1.531854e-04 2.994905e+02 4.551280e+02 1.192592e+06 9.540515e+02 7.521575e+06
1.540890e-04 2.994862e+02 4.548696e+02 1.192253e+06 9.537804e+02 7.515172e+06
1.549924e-04 2.994820e+02 4.546114e+02 1.191915e+06 9.535093e+02 7.508773e+06
1.558954e-04 2.994777e+02 4.543534e+02 1.191576e+06 9.532383e+02 7.502381e+06
1.567983e-04 2.994734e+02 4.540955e+02 1.191238e+06 9.529674e+02 7.495994e+06
1.577010e-04 2.994691e+02 4.538377e+02 1.190900e+06 9.526965e+02 7.489611e+06
1.586036e-04 2.994648e+02 4.535800e+02 1.190562e+06 9.524256e+02 7.483233e+06
1.595062e-04 2.994604e+02 4.533223e+02 1.190224e+06 9.521548e+02 7.476858e+06
1.604087e-04 2.994561e+02 4.530648e+02 1.189886e+06 9.518839e+02 7.470488e+06
1.613110e-04 2.994517e+02 4.528074e+02 1.189547e+06 9.516132e+02 7.464123e+06
1.622130e-04 2.994474e+02 4.525502e+02 1.189210e+06 9.513425e+02 7.457764e+06
1.631148e-04 2.994430e+02 4.522931e+02 1.188872e+06 9.510719e+02 7.451409e+06
1.640165e-04 2.994386e+02 4.520361e+02 1.188534e+06 9.508013e+02 7.445060e+06
1.649181e-04 2.994341e+02 4.517792e+02 1.188196e+06 9.505307e+02 7.438714e+06
1.658198e-04 2.994297e+02 4.515224e+02 1.187858e+06 9.502601e+02 7.432371e+06
1.667212e-04 2.994252e+02 4.512657e+02 1.187521e+06 9.499895e+02 7.426034e+06
1.676224e-04 2.994208e+02 4.510091e+02 1.187183e+06 9.497191e+02 7.419702e+06
1.685234e-04 2.994163e+02 4.507527e+02 1.186845e+06 9.494487e+02 7.413375e+06
1.694242e-04 2.994118e+02 4.504964e+02 1.186508e+06 9.491784e+02 7.407053e+06
1.703249e-04 2.994073e+02 4.502402e+02 1.186171e+06 9.489080e+02 7.400736e+06
1.712256e-04 2.994028e+02 4.499841e+02 1.185833e+06 9.486377e+02 7.394422e+06
1.721263e-04 2.993982e+02 4.497280e+02 1.185496e+06 9.483674e+02 7.388111e+06
1.730267e-04 2.993937e+02 4.494722e+02 1.185158e+06 9.480972e+02 7.381807e+06
1.739269e-04 2.993891e+02 4.492164e+02 1.184821e+06 9.478270e+02 7.375507e+06
1.748269e-04 2.993845e+02 4.489608e+02 1.184484e+06 9.475569e+02 7.369213e+06
1.757267e-04 2.993799e+02 4.487053e+02 1.184147e+06 9.472868e+02 7.362923e+06
1.766266e-04 2.993753e+02 4.484498e+02 1.183810e+06 9.470167e+02 7.356636e+06
1.775264e-04 2.993707e+02 4.481945e+02 1.183473e+06 9.467467e+02 7.350354e+06
1.784261e-04 2.993661e+02 4.479393e+02 1.183136e+06 9.464766e+02 7.344076e+06
1.793254e-04 2.993614e+02 4.476842e+02 1.182799e+06 9.462067e+02 7.337804e+06
1.802246e-04 2.993567e+02 4.474292e+02 1.182462e+06 9.459368e+02 7.331536e+06
1.811237e-04 2.993521e+02 4.471744e+02 1.182125e+06 9.456670e+02 7.325274e+06
1.820227e-04 2.993474e+02 4.469196e+02 1.181788e+06 9.453971e+02 7.319015e+06
1.829217e-04 2.993426e+02 4.466650e+02 1.181452e+06 9.451273e+02 7.312760e+06
1.838206e-04 2.993379e+02 4.464104e+02 1.181115e+06 9.448575e+02 7.306509e+06
1.847192e-04 2.993332e+02 4.461560e+02 1.180778e+06 9.445878e+02 7.300263e+06
1.856177e-04 2.993284e+02 4.459017e+02 1.180442e+06 9.443181e+02 7.294023e+06
1.865159e-04 2.993237e+02 4.456475e+02 1.180105e+06 9.440485e+02 7.287787e+06
1.874141e-04 2.993189e+02 4.453934e+02 1.179769e+06 9.437789e+02 7.281555e+06
1.883123e-04 2.993141e+02 4.451394e+02 1.179432e+06 9.435093e+02 7.275327e+06
1.892105e-04 2.993093e+02 4.448855e+02 1.179096e+06 9.432396e+02 7.269102e+06
1.901084e-04 2.993044e+02 4.446317e+02 1.178760e+06 9.429701e+02 7.262884e+06
1.910061e-04 2.992996e+02 4.443780e+02 1.178423e+06 9.427007e+02 7.256670e+06
1.919036e-04 2.992947e+02 4.441245e+02 1.178087e+06 9.424312e+02 7.250460e+06
