   time      tracer1      tracer2
7.206145e-03 1.213749e+00 7.634852e-01
7.206751e-03 1.213749e+00 7.637171e-01
7.207357e-03 1.213749e+00 7.639491e-01
7.207963e-03 1.213749e+00 7.641813e-01
7.208569e-03 1.213749e+00 7.644134e-01
7.209175e-03 1.213749e+00 7.646457e-01
7.209782e-03 1.213749e+00 7.648781e-01
7.210389e-03 1.213749e+00 7.651105e-01
7.210995e-03 1.213749e+00 7.653430e-01
7.211603e-03 1.213749e+00 7.655755e-01
7.212210e-03 1.213749e+00 7.658082e-01
7.212817e-03 1.213749e+00 7.660409e-01
7.213425e-03 1.213749e+00 7.662737e-01
7.214033e-03 1.213749e+00 7.665066e-01
7.214641e-03 1.213749e+00 7.667396e-01
7.215249e-03 1.213749e+00 7.669726e-01
7.215857e-03 1.213749e+00 7.672057e-01
7.216466e-03 1.213749e+00 7.674389e-01
7.217075e-03 1.213749e+00 7.676722e-01
7.217683e-03 1.213749e+00 7.679055e-01
7.218293e-03 1.213749e+00 7.681390e-01
7.218902e-03 1.213749e+00 7.683725e-01
7.219511e-03 1.213749e+00 7.686060e-01
7.220121e-03 1.213749e+00 7.688397e-01
7.220731e-03 1.213749e+00 7.690734e-01
7.221341e-03 1.213749e+00 7.693072e-01
7.221951e-03 1.213749e+00 7.695411e-01
7.222561e-03 1.213749e+00 7.697751e-01
7.223172e-03 1.213749e+00 7.700091e-01
7.223783e-03 1.213749e+00 7.702433e-01
7.224394e-03 1.213749e+00 7.704774e-01
7.225005e-03 1.213749e+00 7.707117e-01
7.225616e-03 1.213749e+00 7.709461e-01
7.226227e-03 1.213749e+00 7.711805e-01
7.226839e-03 1.213749e+00 7.714150e-01
7.227451e-03 1.213749e+00 7.716496e-01
7.228063e-03 1.213749e+00 7.718843e-01
7.228675e-03 1.213749e+00 7.721190e-01
7.229288e-03 1.213749e+00 7.723538e-01
7.229900e-03 1.213749e+00 7.725887e-01
7.230513e-03 1.213749e+00 7.728237e-01
7.231126e-03 1.213749e+00 7.730588e-01
7.231739e-03 1.213749e+00 7.732939e-01
7.232352e-03 1.213749e+00 7.735291e-01
7.232966e-03 1.213749e+00 7.737644e-01
7.233580e-03 1.213749e+00 7.739998e-01
7.234193e-03 1.213749e+00 7.742352e-01
7.234807e-03 1.213749e+00 7.744707e-01
7.235422e-03 1.213749e+00 7.747063e-01
7.236036e-03 1.213749e+00 7.749420e-01
7.236651e-03 1.213749e+00 7.751778e-01
